[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 18:41:31,995] Login - Step 01: Open homepage
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 18:41:34,305] Login - Step 02: Click Login link on header
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 18:41:35,172] Login - Step 03: Click button Login
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 18:54:04,157] Login - Step 01: Open homepage
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 18:54:06,342] Login - Step 02: Click Login link on header
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 18:54:07,037] Login - Step 03: Click button Login
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:04:35,105] Login - Step 01: Open homepage
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:04:37,071] Login - Step 02: Click Login link on header
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:04:37,792] Login - Step 03: Click button Login
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:25,694] Login_01_Empty_Data
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:25,695] - Step 01: Open homepage
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:25,696] 
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:27,879] - Step 02: Click Login link on header
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:28,634] - Step 03: Click button Login
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:28,818] Login_02_Invalid_Email
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:28,818] - Step 01: Open homepage
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:29,376] - Step 02: Click login link on header
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:30,160] - Step 03: fill invalid email
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:30,621] - Step 04: type password textbox
[com.nopcommerce.frontend.Login]-[main] [INFO] [2022-03-24 19:42:30,779] - Step 05: click login button
